epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5739,1.20873,2.42852,1.21949,0.7208,0.3613,0.42841,0.26578,1.29225,1.98501,1.21799,0.000330808,0.000330808,0.000330808
2,102.485,1.06647,1.09784,1.13403,0.52285,0.45426,0.45271,0.27044,1.28477,1.36022,1.19908,0.000650991,0.000650991,0.000650991
3,143.828,1.0328,0.97951,1.10306,0.60389,0.49491,0.51079,0.30596,1.26233,1.19998,1.18376,0.000957975,0.000957975,0.000957975
4,184.546,0.99024,0.9083,1.08065,0.64109,0.49482,0.52078,0.30346,1.30695,1.1695,1.2005,0.0009406,0.0009406,0.0009406
5,225.393,0.98056,0.86097,1.06908,0.60071,0.53531,0.55057,0.33449,1.23416,1.0716,1.16297,0.0009208,0.0009208,0.0009208
6,264.819,0.91763,0.79519,1.04633,0.64301,0.53168,0.56034,0.34148,1.23504,1.06149,1.16931,0.000901,0.000901,0.000901
7,304.421,0.91493,0.76972,1.03963,0.6453,0.54522,0.57027,0.33735,1.26252,1.06687,1.19966,0.0008812,0.0008812,0.0008812
8,344.259,0.8823,0.73342,1.0226,0.6631,0.54472,0.58144,0.35434,1.22927,1.07436,1.16383,0.0008614,0.0008614,0.0008614
9,384.384,0.86995,0.712,1.01675,0.65169,0.55742,0.58903,0.3654,1.18274,1.01116,1.14451,0.0008416,0.0008416,0.0008416
10,423.832,0.84509,0.68251,1.00635,0.65311,0.56184,0.59408,0.36294,1.19222,0.98983,1.14123,0.0008218,0.0008218,0.0008218
11,464.205,0.82961,0.66595,1.00442,0.65159,0.5748,0.60215,0.36692,1.2098,0.96779,1.15308,0.000802,0.000802,0.000802
12,502.546,0.82069,0.6469,0.99785,0.67096,0.57812,0.61256,0.38459,1.18113,0.94796,1.14103,0.0007822,0.0007822,0.0007822
13,554.036,0.80313,0.63232,0.99406,0.68786,0.58491,0.62237,0.39002,1.17085,0.95541,1.12757,0.0007624,0.0007624,0.0007624
14,593.77,0.78637,0.61917,0.98389,0.69519,0.58303,0.6286,0.39707,1.13953,0.88872,1.11231,0.0007426,0.0007426,0.0007426
15,631.245,0.77243,0.59755,0.9791,0.67673,0.58531,0.62439,0.3937,1.14965,0.91413,1.12315,0.0007228,0.0007228,0.0007228
16,670.415,0.76666,0.59557,0.97596,0.7045,0.58649,0.63823,0.40728,1.12262,0.88692,1.11022,0.000703,0.000703,0.000703
17,710.335,0.76345,0.5842,0.97391,0.70481,0.587,0.63508,0.3987,1.14505,0.87816,1.11721,0.0006832,0.0006832,0.0006832
18,748.891,0.73486,0.57025,0.96463,0.70069,0.59994,0.64388,0.40903,1.11356,0.86516,1.10319,0.0006634,0.0006634,0.0006634
19,787.548,0.73803,0.57266,0.96711,0.70724,0.59936,0.64744,0.40828,1.14359,0.86481,1.11724,0.0006436,0.0006436,0.0006436
20,826.389,0.73158,0.55624,0.96578,0.72322,0.59156,0.64939,0.41501,1.1225,0.86389,1.10508,0.0006238,0.0006238,0.0006238
21,864.324,0.7188,0.5441,0.9561,0.70161,0.60628,0.65345,0.41818,1.11252,0.834,1.09878,0.000604,0.000604,0.000604
22,902.492,0.71783,0.54314,0.95702,0.71373,0.60691,0.65728,0.42397,1.09956,0.82968,1.09693,0.0005842,0.0005842,0.0005842
23,940.874,0.71202,0.53696,0.95403,0.71545,0.61415,0.66232,0.42604,1.10716,0.8201,1.09525,0.0005644,0.0005644,0.0005644
24,978.989,0.6952,0.52401,0.94891,0.70785,0.61552,0.6586,0.4218,1.10702,0.81772,1.09256,0.0005446,0.0005446,0.0005446
25,1018.79,0.68175,0.52151,0.94424,0.7181,0.61889,0.66916,0.4319,1.09052,0.80384,1.08635,0.0005248,0.0005248,0.0005248
26,1057.71,0.67963,0.51234,0.94104,0.72727,0.61027,0.66699,0.43294,1.08695,0.80074,1.07966,0.000505,0.000505,0.000505
27,1095.63,0.66881,0.50317,0.94052,0.73554,0.61184,0.67309,0.43415,1.08673,0.79417,1.07622,0.0004852,0.0004852,0.0004852
28,1133.34,0.65893,0.49331,0.93371,0.7209,0.62485,0.67214,0.43825,1.07458,0.78264,1.07853,0.0004654,0.0004654,0.0004654
29,1173.45,0.66017,0.49318,0.93627,0.74089,0.61997,0.67747,0.43795,1.07979,0.78246,1.07553,0.0004456,0.0004456,0.0004456
30,1212.14,0.66624,0.49844,0.93689,0.74091,0.62677,0.68284,0.44642,1.06901,0.76904,1.07266,0.0004258,0.0004258,0.0004258
31,1250.65,0.64752,0.48801,0.93047,0.7394,0.62409,0.68289,0.44504,1.07416,0.78018,1.08135,0.000406,0.000406,0.000406
32,1289.94,0.63953,0.48088,0.92899,0.72704,0.63249,0.6841,0.44438,1.073,0.76797,1.07293,0.0003862,0.0003862,0.0003862
33,1329.47,0.6373,0.47876,0.92665,0.73399,0.63987,0.68781,0.44761,1.06388,0.76099,1.06824,0.0003664,0.0003664,0.0003664
34,1367.54,0.62291,0.46432,0.92304,0.73929,0.63963,0.69297,0.45392,1.05944,0.75937,1.06529,0.0003466,0.0003466,0.0003466
35,1405,0.62836,0.4716,0.92418,0.74048,0.64244,0.69485,0.45612,1.05253,0.74526,1.06567,0.0003268,0.0003268,0.0003268
36,1444.21,0.61922,0.46326,0.92075,0.73415,0.63978,0.69346,0.45438,1.05607,0.74441,1.06436,0.000307,0.000307,0.000307
37,1483.77,0.61305,0.45581,0.91954,0.74466,0.64597,0.69857,0.45766,1.05631,0.73852,1.06242,0.0002872,0.0002872,0.0002872
38,1522.38,0.60881,0.45478,0.92252,0.74039,0.65117,0.70208,0.46124,1.04296,0.72992,1.05655,0.0002674,0.0002674,0.0002674
39,1560.68,0.6047,0.45245,0.91776,0.75073,0.64552,0.70342,0.46364,1.03556,0.72432,1.0542,0.0002476,0.0002476,0.0002476
40,1599.35,0.59315,0.44193,0.9128,0.75783,0.65006,0.70569,0.46663,1.0337,0.72163,1.05185,0.0002278,0.0002278,0.0002278
